Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,eformsNotice,sfNotice
++,BT-137,    Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,new term,,36,13
++,BT-137,    Purpose Lot Identifier,Identifier,No,"The identifier of a lot. In case of PINs used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the purpose section refers to this lot or part.",CM,new term,,37,13
++,BT-22,    Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,36,13
++,BT-22,    Internal Identifier,Text,No,The internal identifier used for files regarding the procurement procedure or lot before a procedure identifier is given (e.g. coming from the buyer's document management system or procurement planning system). ,O,II.1.1.1,Reference number,37,13
++,BT-23,    Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,new term,,36,13
++,BT-23,    Main Nature,Code,No,"The main nature (e.g. works) of what is being bought. In case of mixed procurement (e.g. a procedure for both works and services), the main nature may be, for example, the one with the highest estimated value. This information must be given for the whole procedure.",CM,new term,,37,13
++,BT-531,    Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,36,13
++,BT-531,    Additional Nature,Code,Yes,"The nature (e.g. services) of what is being bought, additional to Main Nature.",EM,new term,,37,13
++,BT-21,    Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,36,13
++,BT-21,    Title,Text,No,The name of the procurement procedure or lot.,M,II.1.1,Title,37,13
++,BT-24,    Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement:,36,13
++,BT-24,    Description,Text,No,"The description of the nature and quantity of what is being bought or of the needs and requirements that should be met in this procedure or lot. In case of a modification notice, the description of the procurement before and after the modification.",M,II.2.4,Description of the procurement:,37,13
++,BG-557,    Group Framework Estimated Maximum Value,-,Yes,Information about the estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots).,,---,,36,13
++,BG-557,    Group Framework Estimated Maximum Value,-,Yes,Information about the estimated maximum value which can be spent in a framework agreement within a group of lots. This information can be provided when the estimated maximum value of a group of lots is lower than the sum of estimated values of individual lots in this group (e.g. when the same budget is shared for several lots).,,---,,37,13
++,BG-261,    Classification,-,Yes,"Information about the classification(s) describing the purchase. The common procurement vocabulary (CPV) classification type must be used. Additionally, other classifications (e.g. the World Health Organisation's anatomical therapeutic chemical (ATC) classification for pharmaceuticals; the medical devices nomenclature under the Regulation (EU) 2017/745) may, if made available by the Publications Office of the EU, be used.)",M,---,,36,13
++,BG-261,    Classification,-,Yes,"Information about the classification(s) describing the purchase. The common procurement vocabulary (CPV) classification type must be used. Additionally, other classifications (e.g. the World Health Organisation's anatomical therapeutic chemical (ATC) classification for pharmaceuticals; the medical devices nomenclature under the Regulation (EU) 2017/745) may, if made available by the Publications Office of the EU, be used.)",M,---,,37,13
+++,BT-26,        Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,36,13
+++,BT-26,        Classification Type,Code,No,The type of classification describing the purchase (e.g. the common procurement vocabulary).,M,new term overall,,37,13
+++,BT-262,        Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,36,13
+++,BT-262,        Main Classification Code,Code,No,The code from the classification that best characterizes the purchase.,CM,II.1.2,Main CPV code,37,13
+++,BT-263,        Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,36,13
+++,BT-263,        Additional Classification Codes,Code,Yes,An additional code from the classification that also characterize the purchase.,O,new term overall,,37,13
++,BT-25,    Quantity,Number,No,The number of units required.,O,new term,,36,13
++,BT-25,    Quantity,Number,No,The number of units required.,O,new term,,37,13
++,BT-625,    Unit,Code,No,"The unit which the good, service, or work comes in, for example hours or kilograms. Where CPV code is a supply which does not need a further unit (e.g. cars), then no unit needs to be given and quantity is taken to be a count, e.g. the ""number of cars"". ",O,new term overall,,36,13
